Folder Path,Method,Compression Rate,Best AUC
logs/multi_run/multi_run/20240820_170549,ada,0.1,80.251
logs/multi_run/multi_run/20240820_170549,ada,0.2,80.438
logs/multi_run/multi_run/20240820_170549,ada,0.3,80.532
logs/multi_run/multi_run/20240820_170549,ada,0.4,80.52
logs/multi_run/multi_run/20240820_170549,ada,0.5,80.505
logs/multi_run/multi_run/20240820_170549,ada,0.6,80.496
logs/multi_run/multi_run/20240820_170549,ada,0.7,80.466
logs/multi_run/multi_run/20240820_170549,ada,0.8,80.519
logs/multi_run/multi_run/20240820_170549,ada,0.9,80.36
logs/multi_run/multi_run/20240820_170549,hash,0.1,79.995
logs/multi_run/multi_run/20240820_170549,hash,0.2,80.123
logs/multi_run/multi_run/20240820_170549,hash,0.3,80.13
logs/multi_run/multi_run/20240820_170549,hash,0.4,80.087
logs/multi_run/multi_run/20240820_170549,hash,0.5,80.062
logs/multi_run/multi_run/20240820_170549,hash,0.6,80.115
logs/multi_run/multi_run/20240820_170549,hash,0.7,80.123
logs/multi_run/multi_run/20240820_170549,hash,0.8,80.15
logs/multi_run/multi_run/20240820_170549,hash,0.9,80.164
,full,1,80.188
